"y","x","t"
-0.5729772,-27,0
0.227935,54,0
-0.4901242,-8,1
0.0346114,7,0
0.227935,-4,0
-0.9596245,2,0
-1.291036,-28,0
0.9183766,57,0
-2.036713,-23,0
-1.291036,-11,1
1.332642,30,0
1.664054,69,0
0.1174644,-1,1
0.310788,33,0
-1.208183,-28,1
-1.511978,-13,0
1.664054,90,0
-1.208183,9,0
0.6422,12,0
-0.7939185,-1,0
-1.291036,-91,1
-1.208183,21,0
-0.4072712,-43,0
0.6422,33,0
-0.7110655,-8,1
-0.0482416,30,0
0.5317293,45,0
0.5317293,27,0
-0.0482416,12,0
-0.9596245,-23,0
-0.1863299,-23,1
-0.4072712,2,0
-0.1587123,-59,1
-1.401507,-8,0
-0.0482416,51,0
1.664054,36,0
-0.4072712,27,0
0.4212587,36,0
