"z1","z2","x","y"
2.8,1.8,-0.95,-1.458
3.9,3.1,0.35,-0.8251
3.4,4.1,0.65,-1.1382
3.3,2.4,-0.35,-0.9145
3.7,3.5,0.75,-0.7354
4.3,3,0.25,1.2123
2.2,2.6,-0.55,-1.458
3.6,3.7,0.85,-0.6904
1.7,2.4,-1.05,-1.6
3,4,0.25,-1.5523
3.2,3,0.25,-1.2284
2.4,2.4,-0.35,-1.8477
2.6,0.9,-1.85,-0.9145
3.5,3.1,0.35,-0.4682
4.1,3.6,0.85,-0.7354
3.7,2.7,-0.0499999999999998,-0.5541
4.1,2.6,-0.15,0.1862
2.7,4.1,-0.0499999999999998,-0.7944
3.9,3.2,0.45,-0.8251
4.5,3.7,0.95,0.026
2.6,2.8,-0.15,-1.0933
3.9,1.1,-1.65,0.8089
3.5,2,-0.75,-0.3685
2.3,1.8,-0.95,-2.3368
3.1,1.6,-1.15,-0.5998
2.7,2.6,-0.15,-1.1832
1.9,1.8,-0.95,-2.7581
3,4.1,0.25,-1.1964
3.7,2,-0.75,0.4763
4.9,4.3,1.55,-0.4154
2.8,2,-0.75,-1.2284
3.9,3,0.25,-1.0485
3.3,2,-0.75,-0.462
3,3,0.25,-0.9591
4.7,2.4,-0.35,-0.5911
2.4,1.3,-1.45,-2.0598
2.6,2.8,-0.15,-1.2925
3.5,2.7,-0.0499999999999998,-0.7803
4,2.8,0.0499999999999998,-1.7968
1.9,1.3,-1.45,-2.7581
3.1,3.2,0.35,-0.8698
3.4,1.8,-0.95,-0.3685
3.4,3.7,0.65,-1.0038
5,3.3,0.55,0.3622
5.4,4,1.25,1.0396
2.7,3.4,-0.0499999999999998,-1.8477
2.8,2.2,-0.55,-1.5124
2.6,1.6,-1.15,-2.2796
3.2,3.2,0.45,-0.9591
3.1,1.6,-1.15,-1.0485
3.6,3.3,0.55,-1.2431
3,2.7,-0.0499999999999998,-0.5541
5.2,3.6,0.85,0.6694
3.4,3,0.25,-1.1832
4.5,2.4,-0.35,0.275
4.2,2.6,-0.15,0.1319
2.5,2.2,-0.55,-0.7052
3.3,2.6,-0.15,-1.2284
4.4,2.6,-0.15,0.8826
3.1,2.2,-0.55,-0.5082
2.6,3.1,-0.15,-1.6
3.2,2.8,0.0499999999999998,-1.7968
2.7,0.9,-1.85,-2.0011
3.3,3.2,0.45,-0.5541
2.6,1.3,-1.45,-1.5049
4.1,2.8,0.0499999999999998,-0.7803
1.8,2.8,-0.95,-1.78
2.5,2.3,-0.45,-0.3762
3,2,-0.75,-0.7803
2.4,1.8,-0.95,-2.437
3.9,3.5,0.75,-0.0765
2.9,2.2,-0.55,-1.2738
3.6,2.8,0.0499999999999998,-0.6452
2.9,2.2,-0.55,-1.1236
3.3,4.4,0.55,-1.0602
3.2,3.4,0.45,-0.2733
2.7,2.7,-0.0499999999999998,-1.5523
3,4.5,0.25,-2.1722
4.6,3.4,0.65,0.7379
5.1,3.7,0.95,0.4763
2.4,2,-0.75,-1.1804
3.9,3.1,0.35,-0.225
2.9,1.8,-0.95,-1.2284
3.8,3.1,0.35,-1.1382
4.1,4,1.25,-0.8003
4.2,2,-0.75,0.1319
6.3,6.1,3.35,1.465
3.3,3,0.25,-0.8698
2.3,2.7,-0.45,-0.9145
2.2,2.2,-0.55,-1.7293
2.6,2.4,-0.35,-0.7052
2.6,2.8,-0.15,-1.1382
3.4,2.4,-0.35,-0.7354
2.1,2.8,-0.65,-1.3194
3.4,2.4,-0.35,0.1862
3.7,2.4,-0.35,1.306
2.5,1.1,-1.65,-2.2231
3.3,1.8,-0.95,-1.0485
4.9,3.2,0.45,-0.0765
3.7,3.4,0.65,-0.5511
3.3,4,0.55,-0.8251
3.8,3.6,0.85,-1.458
2.2,2.4,-0.55,-2.2796
3.6,3,0.25,-1.1832
3.3,2,-0.75,-1.4115
3.5,1.8,-0.95,-0.3211
3.7,2.7,-0.0499999999999998,-0.1761
1.8,2,-0.95,-0.9494
4.2,2.7,-0.0499999999999998,-0.4154
4.2,1.8,-0.95,0.0785
2.6,1.8,-0.95,-1.458
2.4,2,-0.75,-1.0933
3.1,3,0.25,-1.2738
3.5,5,0.75,-0.2733
3.3,2.8,0.0499999999999998,-0.5998
3.4,2.4,-0.35,-1.0662
4,4.1,1.25,-0.8698
2,2,-0.75,-1.8994
2.4,2.6,-0.35,-1.1832
3.9,2.6,-0.15,-0.8898
3.2,3.5,0.45,-1.2284
2.2,1.8,-0.95,-1.0848
2.9,2.6,-0.15,-1.5049
3.2,3.1,0.35,-1.1832
3.1,2.2,-0.55,-0.9591
3,2,-0.75,-0.5098
3.2,4.5,0.45,-1.0485
3,2.6,-0.15,-1.1382
3.9,1.6,-1.15,-0.2996
4.4,2.2,-0.55,-0.0695
2.5,2.4,-0.35,-2.167
3.9,3,0.25,-0.1266
2.7,1.6,-1.15,-1.0081
3.1,1.1,-1.65,-0.2733
2.8,2.7,-0.0499999999999998,-1.9519
3.4,3,0.25,-0.6904
3,2.6,-0.15,-1.1382
3,1.3,-1.45,-1.1832
3.8,2.8,0.0499999999999998,-0.5082
3.5,2.7,-0.0499999999999998,-0.6452
3,3.5,0.25,-1.8994
4,3.5,0.75,-0.7803
4.2,3.6,0.85,0.6694
3.3,2.7,-0.0499999999999998,-0.7803
4.1,3.2,0.45,0.4881
3,2.4,-0.35,-0.8251
2.8,1.6,-1.15,-0.9591
3,2.8,0.0499999999999998,-0.8698
3.1,2.4,-0.35,-0.2733
2.6,2,-0.75,-1.1804
3.5,3.2,0.45,0.3562
2.4,2,-0.75,-1.2284
4,2.2,-0.55,0.2417
3.8,4.1,1.05,-0.0765
3.6,4.7,0.85,-0.225
4.1,2.6,-0.15,-0.3211
3.3,2,-0.75,0.6694
4.1,3.8,1.05,-0.225
4.4,3.8,1.05,0.1319
2.7,3.1,-0.0499999999999998,-1.1832
4,2.2,-0.55,0.2417
4.5,3.4,0.65,-0.0256
5.1,4.6,1.85,0.7318
3.9,3.6,0.85,-0.8698
3.8,3.7,0.95,-0.5541
3.9,4,1.15,-0.0256
4.6,4.8,1.85,-0.7164
3.3,1.3,-1.45,-1.3653
3.4,2.2,-0.55,-1.0038
4.7,3.5,0.75,0.7379
3.9,4.5,1.15,-1.1832
3.3,3,0.25,0.026
4.3,3.6,0.85,0.3562
4.3,5,1.55,0.6031
3.9,4.5,1.15,0.0785
2.1,1.1,-1.65,-0.7052
2,1.8,-0.95,-1.7293
2.1,1.3,-1.45,-1.5124
3.3,2.2,-0.55,-0.9145
2.9,3.6,0.15,-0.8293
2.6,2.4,-0.35,-1.0933
4,3,0.25,-0.2996
2.3,0.9,-1.85,-1.6
3.9,3.2,0.45,0.026
4.1,2.7,-0.0499999999999998,-1.4115
2.1,0.6,-2.15,-1.458
4.6,3.1,0.35,0.6031
4.1,3,0.25,-0.462
2.5,2.3,-0.45,-1.8464
3,3.1,0.25,-1.6484
2.3,3,-0.45,-1.4115
4.1,4,1.25,0.2417
3.7,3.2,0.45,-0.6452
3,2.2,-0.55,-1.0081
4.8,5,2.05,1.0396
2.5,1.6,-1.15,-0.8698
4.1,2.8,0.0499999999999998,-0.5082
5.2,3.8,1.05,-1.0485
4,2.8,0.0499999999999998,-0.6452
3.7,2.4,-0.35,-1.1236
2.3,2.2,-0.55,-1.8994
4.1,3.1,0.35,-0.4154
2.7,1.8,-0.95,-2.2796
2.3,1.1,-1.65,-2.6541
3.1,4,0.35,-1.7467
2.8,2,-0.75,0.283
4.4,3.5,0.75,-0.0256
3.9,3.1,0.35,-0.3685
4.6,4.1,1.35,0.8312
5,3.7,0.95,-0.225
3.8,3.4,0.65,-1.2738
2.5,1.8,-0.95,-1.5668
2.5,3,-0.25,-1.0933
2.6,1.1,-1.65,-0.6414
3.6,2,-0.75,-1.2738
3.6,2.8,0.0499999999999998,-0.3685
3.2,2.6,-0.15,-1.458
2.5,1.6,-1.15,-1.6
4.4,2.4,-0.35,-0.4154
4,3.1,0.35,-0.9591
3.5,2.6,-0.15,-0.7803
3.1,3.4,0.35,-0.5541
4.8,3.1,0.35,-0.4154
4.6,2.6,-0.15,0.1862
2.8,1.8,-0.95,-1.5124
4,3.7,0.95,0.4763
2.4,1.6,-1.15,-1.6972
3.2,2.6,-0.15,-0.8251
4,1.6,-1.15,-0.0695
2.4,1.1,-1.65,-2.1154
2,1.6,-1.15,-3.3202
4.1,3.6,0.85,-0.8251
2.7,2.4,-0.35,-1.5124
3.1,2.7,-0.0499999999999998,-0.9591
3.1,3,0.25,-1.458
3.9,4.3,1.15,-0.1266
2.8,1.8,-0.95,0.283
2.4,1.3,-1.45,-0.9591
2.4,1.6,-1.15,-1.0038
2.2,2.2,-0.55,-0.1266
2.2,2,-0.75,-2.1154
4.9,4,1.25,-0.0765
3.3,2.6,-0.15,-1.2738
3.5,1.6,-1.15,-0.2996
